Section,Item,Current understanding,Proposed default,Alternatives,Need confirmation
Main Protocol,Table shape,"Baseline compares guard/defense, attack method, and target model","guard x attack x target -> ASR","Add dataset/category dimension","Is this table shape correct?"
Main Protocol,Judge role,"Judge is evaluation-only; HarmBench uses behavior + generation -> yes/no","Use judge after target output","Attack repo verifier; human audit","Is unified judge required?"
Main Protocol,Guard role,"Guard is the evaluated defense row and may inspect input/output/both","Start with input-side guard","Output-side guard; input+output guard","Which guard placement is expected?"
Main Protocol,Attack role,"Attack generates adversarial user inputs/dialogues from harmful behavior seeds","Separate attack generation from ASR judging","Use attack repo internal ASR","Should attack repo verifier be ignored or retained?"
Main Protocol,Target role,"Target generates assistant responses with chat history","Normal multi-turn chat with history","Stateless single-turn prompts only","Confirm target should be multi-turn chat"
ASR,Judge model,"HarmBench-Llama-2-13b-cls is behavior + generation classifier","Use HarmBench-Llama-2-13b-cls","GPT-4o judge; attack verifier; guard model as judge","Final judge?"
ASR,Judge input,"Response-level judging aligns with HarmBench and attack verifiers","harmful_goal + each assistant response","Final response only; full transcript","What should be judged?"
ASR,Dialogue success,"Multi-turn attacks can succeed before final turn","Any assistant turn judged successful","Final turn only; full transcript","Any-turn or final-turn?"
ASR,Denominator,"Attack methods may generate multiple attempts per behavior","behavior@1 or dialogue@1 first","behavior@k; per attempt/path; best-of-k","Behavior, dialogue, or attempt denominator?"
Guard Placement,Input-side current turn only,"Only current user is checked","Not main default","Full-history input; output-side","Use at all?"
Guard Placement,Input-side full history,"history + current_user -> guard -> allow/block","Main default","Current turn only; output-side","Confirm for main table?"
Guard Placement,Output-side only,"target_response -> guard -> return/block","Separate table or row","Input-side only; input+output","Include?"
Attack,Crescendo,"Confirmed black-box multi-turn attack; GPT-4 judge in paper","Likely include","Exclude or use only as supplemental","Include and source repo?"
Attack,ActorAttack,"Confirmed multi-turn attack; GPTJudge 1-5; score 5 success","Likely include","Exclude or use only as supplemental","Include and attempts per behavior?"
Attack,X-Teaming,"Confirmed multi-turn red-teaming; GPT-4o verifier 1-5; score 5 success","Likely include","Exclude or use only as supplemental","Include and plans per behavior?"
Attack,Tempest/TEMPEST,"Not reliably verified in this pass","Do not include until source found","Include if project has source","Required? Which repo/paper?"
Attack,GCG,"Known white-box/suffix attack, usually single-turn","Supplement only","Main table attack","Include in main table?"
Guard,Raw,"No defense baseline","Always include","N/A","N/A"
Guard,Llama-Guard-3-8B,"Local model available; supports input/output moderation","Input-side full-history","Output-side; input+output","Use 8B or other variant?"
Guard,ShieldGemma,"Local variants available; supports input/output moderation","Input-side full-history","Output-side; input+output","Which size?"
Guard,WildGuard,"Local model available; supports harmful prompt/response/refusal detection","Input-side full-history","Output-side; input+output","Use as guard row?"
Guard,Granite Guardian,"Local variants available; supports prompt/response risk detection","Input-side full-history","Output-side; input+output","Use 2B or 8B?"
Guard,Qwen3Guard,"Local variants available; supports prompt/response moderation","Input-side full-history","Output-side; input+output","Use 0.6B/4B/8B?"
Target,Qwen3-8B,"Local path available and smoke-tested","Use for smoke; maybe not final main target","Qwen2.5-7B-Instruct","Which Qwen target?"
Target,Qwen2.5-7B-Instruct,"Local path available and instruct/chat suited","Recommended Qwen target","Qwen3-8B","Use as main Qwen?"
